Employee_ID,Name,Department,Age,Salary,Joining_Date
1,Employee_1,IT,25,40000,2020-01-01
2,Employee_2,HR,26,45000,2020-01-02
3,Employee_3,Finance,27,50000,2020-01-03
4,Employee_4,Sales,28,55000,2020-01-04
5,Employee_5,Marketing,29,60000,2020-01-05
6,Employee_6,IT,30,65000,2020-01-06
7,Employee_7,HR,31,70000,2020-01-07
8,Employee_8,Finance,32,75000,2020-01-08
9,Employee_9,Sales,33,80000,2020-01-09
10,Employee_10,Marketing,34,85000,2020-01-10
11,Employee_11,IT,25,40000,2020-01-11
12,Employee_12,HR,26,45000,2020-01-12
13,Employee_13,Finance,27,50000,2020-01-13
14,Employee_14,Sales,28,55000,2020-01-14
15,Employee_15,Marketing,29,60000,2020-01-15
16,Employee_16,IT,30,65000,2020-01-16
17,Employee_17,HR,31,70000,2020-01-17
18,Employee_18,Finance,32,75000,2020-01-18
19,Employee_19,Sales,33,80000,2020-01-19
20,Employee_20,Marketing,34,85000,2020-01-20
21,Employee_21,IT,25,40000,2020-01-21
22,Employee_22,HR,26,45000,2020-01-22
23,Employee_23,Finance,27,50000,2020-01-23
24,Employee_24,Sales,28,55000,2020-01-24
25,Employee_25,Marketing,29,60000,2020-01-25
26,Employee_26,IT,30,65000,2020-01-26
27,Employee_27,HR,31,70000,2020-01-27
28,Employee_28,Finance,32,75000,2020-01-28
29,Employee_29,Sales,33,80000,2020-01-29
30,Employee_30,Marketing,34,85000,2020-01-30
31,Employee_31,IT,25,40000,2020-01-31
32,Employee_32,HR,26,45000,2020-02-01
33,Employee_33,Finance,27,50000,2020-02-02
34,Employee_34,Sales,28,55000,2020-02-03
35,Employee_35,Marketing,29,60000,2020-02-04
36,Employee_36,IT,30,65000,2020-02-05
37,Employee_37,HR,31,70000,2020-02-06
38,Employee_38,Finance,32,75000,2020-02-07
39,Employee_39,Sales,33,80000,2020-02-08
40,Employee_40,Marketing,34,85000,2020-02-09
41,Employee_41,IT,25,40000,2020-02-10
42,Employee_42,HR,26,45000,2020-02-11
43,Employee_43,Finance,27,50000,2020-02-12
44,Employee_44,Sales,28,55000,2020-02-13
45,Employee_45,Marketing,29,60000,2020-02-14
46,Employee_46,IT,30,65000,2020-02-15
47,Employee_47,HR,31,70000,2020-02-16
48,Employee_48,Finance,32,75000,2020-02-17
49,Employee_49,Sales,33,80000,2020-02-18
50,Employee_50,Marketing,34,85000,2020-02-19
51,Employee_51,IT,25,40000,2020-02-20
52,Employee_52,HR,26,45000,2020-02-21
53,Employee_53,Finance,27,50000,2020-02-22
54,Employee_54,Sales,28,55000,2020-02-23
55,Employee_55,Marketing,29,60000,2020-02-24
56,Employee_56,IT,30,65000,2020-02-25
57,Employee_57,HR,31,70000,2020-02-26
58,Employee_58,Finance,32,75000,2020-02-27
59,Employee_59,Sales,33,80000,2020-02-28
60,Employee_60,Marketing,34,85000,2020-02-29
61,Employee_61,IT,25,40000,2020-03-01
62,Employee_62,HR,26,45000,2020-03-02
63,Employee_63,Finance,27,50000,2020-03-03
64,Employee_64,Sales,28,55000,2020-03-04
65,Employee_65,Marketing,29,60000,2020-03-05
66,Employee_66,IT,30,65000,2020-03-06
67,Employee_67,HR,31,70000,2020-03-07
68,Employee_68,Finance,32,75000,2020-03-08
69,Employee_69,Sales,33,80000,2020-03-09
70,Employee_70,Marketing,34,85000,2020-03-10
71,Employee_71,IT,25,40000,2020-03-11
72,Employee_72,HR,26,45000,2020-03-12
73,Employee_73,Finance,27,50000,2020-03-13
74,Employee_74,Sales,28,55000,2020-03-14
75,Employee_75,Marketing,29,60000,2020-03-15
76,Employee_76,IT,30,65000,2020-03-16
77,Employee_77,HR,31,70000,2020-03-17
78,Employee_78,Finance,32,75000,2020-03-18
79,Employee_79,Sales,33,80000,2020-03-19
80,Employee_80,Marketing,34,85000,2020-03-20
81,Employee_81,IT,25,40000,2020-03-21
82,Employee_82,HR,26,45000,2020-03-22
83,Employee_83,Finance,27,50000,2020-03-23
84,Employee_84,Sales,28,55000,2020-03-24
85,Employee_85,Marketing,29,60000,2020-03-25
86,Employee_86,IT,30,65000,2020-03-26
87,Employee_87,HR,31,70000,2020-03-27
88,Employee_88,Finance,32,75000,2020-03-28
89,Employee_89,Sales,33,80000,2020-03-29
90,Employee_90,Marketing,34,85000,2020-03-30
91,Employee_91,IT,25,40000,2020-03-31
92,Employee_92,HR,26,45000,2020-04-01
93,Employee_93,Finance,27,50000,2020-04-02
94,Employee_94,Sales,28,55000,2020-04-03
95,Employee_95,Marketing,29,60000,2020-04-04
96,Employee_96,IT,30,65000,2020-04-05
97,Employee_97,HR,31,70000,2020-04-06
98,Employee_98,Finance,32,75000,2020-04-07
99,Employee_99,Sales,33,80000,2020-04-08
100,Employee_100,Marketing,34,85000,2020-04-09
